,Name,R1toR2,R2toR3,R3toR4,R4toR5,R5toR6,R6toR7,R7toR8,R8toR9,R9toR10
pylint,-0.02,0.04,-4.95,0.0,0.93,-0.18,-0.02,-0.12,-5.77
pymc,1162300.0,-61.78,310.44,-13.16,7.44,0.0,1.66,0.03,0.01
pyod,30.17,38.87,18.11,33.36,-6.3,6.4,4.46,6.03,0.44
pyodide,0.85,0.0,0.0,2.88,3.21,4.42,1.07,2.97,0.18
PyPDF2,0.06,1.12,9.87,6.96,14.26,0.04,0.41,3.73,21.75
pyright,0.0,0.0,0.0,2900.0,49.05,72.52,22.78,14.33,16.23
pyro,-0.85,0.68,63.45,9.11,82.47,3.24,6.44,0.27,8.14
pyTelegramBotAPI,84.42,1.1,2.99,20.32,18.31,4.63,26.86,0.44,5.44
pytesseract,-0.5,47.26,1.35,7.0,30.53,2.63,3.95,6.04,0.0
pytest,-2.09,1.4,0.04,0.41,0.01,0.66,0.02,-0.24,0.43
python-for-android,1.69,9.51,-39.0,9.09,3.73,5.82,3.35,-5.1,1.95
python-telegram-bot,18.62,7.69,0.03,0.61,0.29,5.53,0.22,9.59,0.12
python,0.72,0.0,9.79,-6.91,0.45,0.0,0.01,19.3,-16.18
pytorch-image-models,7.75,0.29,41.56,23.34,2.61,18.13,7.73,12.26,0.24
pytorch-lightning,0.36,0.69,13.71,24.68,0.05,0.15,18.72,62.21,36.4
pytorch-metric-learning,2.35,-9.9,5.91,1.29,50.45,0.05,4.98,9.74,0.48
pytorch3d,8.78,43.54,21.49,18.15,33.12,11.38,5.22,1.7,27.99
pytorch_geometric,5.69,22.27,32.93,27.16,3.36,30.13,13.6,0.64,0.35
pytube,-0.22,0.22,501.54,10.41,5.53,-3.62,-2.88,7.37,0.05
pywal,1.87,0.0,0.0,3.51,-1.94,0.0,3.95,-0.79,0.0
pyWhat,0.0,0.0,2.3,15.73,47.18,13.32,16.94,12.59,18.88
q,7.78,5.63,3.5,0.0,0.21,-0.21,2.97,0.0,-0.41
qlib,0.7,59.55,6.97,7.89,32.74,8.02,0.57,16.7,7.51
QUANTAXIS,-100.0,-100.0,-100.0,-100.0,8500.0,0.0,0.0,116.28,5084.95
qutebrowser,18.85,0.27,0.66,1.04,12.79,0.0,11.43,12.87,0.19
ray,-2.59,1.88,22.59,2.68,11.65,13.05,45.23,15.08,-2.71
recommenders,-11.7,104.8,57.57,8.36,66.26,8.85,4.63,4.01,1.38
redash,98.55,0.0,1.97,0.0,-0.09,0.0,0.02,0.13,0.0
redis-rdb-tools,0.08,19.32,0.31,0.0,4.54,-0.09,11.07,0.51,2.69
rich,1.14,10.33,11.71,0.04,5.58,0.55,2.03,0.0,1.04
robotframework,0.65,2.26,1.18,0.93,0.48,0.67,0.13,0.0,0.56
rq,14.0,0.13,0.37,0.65,0.21,2.87,0.46,2.75,0.77
rtv,0.0,0.05,8.82,9.58,1.13,0.17,9.19,9.04,1.33
RxPY,4.04,1.43,7.62,20.4,0.13,0.96,15.92,0.0,0.02
salt,-28.27,-0.44,0.0,-70.54,1.85,11.85,13.33,8.54,10.44
sanic,14.26,22.79,10.19,17.85,19.81,13.31,9.73,0.33,21.5
SASM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scapy,-100.0,2061900.0,22.72,2.24,16.9,-100.0,-100.0,10552800.0,16.18
scikit-image,11.06,0.0,-0.16,6.5,0.01,-0.0,7.68,0.16,0.08
scikit-learn,17.82,0.7,5.69,10.2,0.64,-9.75,10.88,0.16,0.8
scipy,0.01,0.12,7.05,0.2,0.11,0.01,0.08,11.08,0.02
ScoutSuite,804800.0,0.02,1.29,5.25,35.58,0.03,-15.69,5.66,6.32
scrapy,0.01,0.28,-8.97,-8.85,11.1,1.25,5.12,0.01,0.0
seaborn,7.75,198.26,2.33,22.71,19.18,0.4,42.46,4.79,2.71
searx,-0.08,15.24,8.79,7.81,3.32,5.36,0.18,0.29,2.23
security_monkey,8.14,7.79,0.7,-2.25,3.91,6.82,17.86,24.44,12.1
sentence-transformers,33.32,0.0,8.5,0.69,12.26,9.79,1.29,13.66,13.01
sentry,28.02,0.08,0.06,0.05,0.0,0.01,0.02,2.76,0.0
serverless-application-model,0.0,0.0,0.0,5129.41,254.99,0.43,1.54,0.77,7.3
sigma,-9.43,-1.2,0.0,14.11,16.36,18.26,3.29,13.39,0.0
sktime,48.25,12.25,39.39,13.92,5.2,8.63,14.18,6.59,5.42
snorkel,32.08,75.14,13.4,6.54,-12.77,3.53,1.09,-0.07,1.55
speech_recognition,15.5,-3.67,5.0,16.1,2.05,-2.01,2.73,1.81,0.0
speedtest-cli,24.32,12.26,0.0,2.34,0.0,9.15,79.28,0.13,1.04
spotify-downloader,27.44,15.46,0.26,9.98,0.57,0.36,8.53,0.15,0.24
spyder,1.05,0.47,0.78,0.0,0.0,7.02,-6.5,0.07,0.04
sqlalchemy,-0.3,-0.29,-0.36,-0.22,-0.29,-0.09,-0.13,-0.02,-0.25
sqlfluff,65.1,36.19,133.51,0.88,39.46,0.64,0.0,1.32,32.97
st2,0.7,0.21,0.33,14.45,0.12,0.0,14.22,0.03,0.2
stanza,-0.4,13.48,22.33,1.43,0.0,23.65,18.4,16.35,1.45
starlette,1.66,-0.02,0.0,0.26,1.81,-0.23,0.26,3.37,2.57
statsmodels,1.08,13.49,0.07,10.27,0.1,0.14,0.26,5.51,0.46
streamlink,-0.07,2.22,5.53,12.21,1.86,1.13,7.33,1.21,4.0
streamlit,-0.0,1.81,0.0,0.26,0.67,0.43,1.18,1.99,1.51
synapse,0.0,0.01,0.0,4.01,2.77,0.0,0.01,12.15,0.0
Synonyms,1.08,40.36,1.27,151.26,6.0,2.55,0.28,-9.17,6.16
Telethon,15.19,5.75,7.03,6.48,5.21,8.7,0.55,22.06,-0.96
tensor2tensor,2.24,0.95,0.19,1.79,0.22,2.74,0.35,3.68,0.11
tensorboardX,77.27,-16.76,5.62,80.77,1.76,6.32,5.18,14.63,8.03
TensorLayer,25.87,4.73,0.24,0.46,0.83,4.13,3.33,0.98,0.21
termtosvg,1.26,1.01,2.64,10.25,3.27,2.41,2.41,21.91,1.38
textgenrnn,17.8,0.0,8.2,0.27,7.43,2.47,-0.12,11.1,0.22
textual,29.2,65.67,13.95,1.24,0.0,0.0,4.37,0.0,-0.02
thefuck,0.14,0.02,0.03,0.29,0.94,1.73,0.01,6.37,1.44
theHarvester,33.18,17.09,1.61,5.4,3.85,-62.5,28.43,-0.67,0.04
thumbor,-0.02,0.02,0.08,0.29,0.12,0.16,0.07,0.75,0.01
tianshou,14.92,11.06,11.06,1.82,10.11,16.27,6.69,8.17,-0.02
