,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
objection,4809,4830,4867,4884,5879,5879,5876,5925,5965,6007
OctoPrint,5790,6667,6638,8190,9376,9823,9759,9923,27796,27808
OneForAll,5325,5174,5123,5382,5853,6092,6155,6142,6603,7018
onionshare,2726,2749,3008,3057,3009,3087,3727,4742,4883,6268
OpenNMT-py,10219,12034,12247,12425,12578,12582,12710,12709,11945,12147
openpilot,27506,86831,87889,88309,98276,99444,100914,101759,31009,31237
opensnitch,5971,6364,6457,7565,7700,5159,5477,5515,5892,5934
oppia,44093,50850,51341,52149,53868,53374,52471,54207,54282,55704
optuna,5153,6723,6907,8703,8625,9086,9713,10065,10343,11274
owasp-mstg,0,0,0,0,0,0,0,14,14,14
PaddleHub,6559,9711,9072,10906,11127,11127,11768,11913,15483,17087
PaddleSeg,6618,7309,8088,15818,28431,38196,41007,41299,43703,49287
pandas,170372,175727,191144,191764,197217,207210,214504,214914,216184,217887
paperless-ng,8959,8959,9530,10381,10583,11643,11968,12380,12431,12891
paperless,4571,4571,4575,4603,4634,4735,4903,5038,5132,5233
ParlAI,159429,162033,159256,162060,152609,155852,155865,147397,127056,133145
PathPicker,1439,1576,1720,2497,2910,3038,3146,3283,3395,3564
patroni,4481,4481,5821,5841,5844,6692,7059,8302,9345,13707
peewee,9572,9878,10321,11238,11741,12319,12751,15031,15619,16001
pendulum,7153,7163,10651,12063,12075,12354,12392,12392,12442,13929
persepolis,9146,15835,15842,15877,15879,27866,27864,27884,32444,32692
Photon,437,413,480,518,586,554,566,570,620,554
Pillow,39165,39800,40621,41569,42531,41609,41572,41612,42534,42545
pip-tools,3459,3678,4041,4057,4119,4193,96773,96779,96825,4488
pipx,2369,2383,2579,3735,3816,3829,3836,3877,4041,4062
platformio-core,1763,1815,1955,1957,2027,2208,2549,2866,2899,3700
playwright-python,23727,29249,30621,30938,31328,31534,31314,31763,31772,31970
plotly.py,16065,16065,16355,31727,33651,33656,447069,446964,469525,469724
poetry,7214,11487,14907,14907,14908,15718,16033,16085,17264,17323
pre-commit,9588,9583,9664,9676,9673,9751,9894,10368,10372,10373
prefect,14827,16719,18220,22660,28468,30518,40885,43501,44047,44409
prophet,1530,2075,2551,2609,3358,4943,5341,6250,6961,7257
proselint,7177,7028,7017,7017,7017,7173,7616,7912,7912,7912
pwntools,18997,25903,47383,47422,47383,47522,47521,47521,47532,48956
pydub,2329,2716,2842,2859,2869,2917,3042,3045,3048,3108
PyGithub,25202,25404,25430,25436,25529,25426,26424,26424,27391,28107
pyinstaller,40950,40681,35149,17781,17781,18049,11683,8852,8811,8929
pyjwt,820,889,1330,1332,1367,1406,1446,1769,2265,2309
pylint,69268,69257,69288,65861,65861,66473,66353,66341,66259,62439
pymc,0,11624,4443,18236,15837,17015,17015,17297,17302,17304
pyod,4743,6174,8574,10127,13505,12654,13464,14065,14913,14978
pyodide,4685,4725,4725,4725,4861,5017,5239,5295,5452,5462
PyPDF2,6240,6244,6314,6937,7420,8478,8481,8516,8834,10755
pyright,7,7,7,7,210,313,540,663,758,881
pyro,15172,15043,15145,24755,27010,49286,50884,54161,54309,58730
pyTelegramBotAPI,1130,2084,2107,2170,2611,3089,3232,4100,4118,4342
pytesseract,202,201,296,300,321,419,430,447,474,474
pytest,62250,60947,61803,61830,62082,62091,62499,62510,62361,62628
python-for-android,26432,26880,29435,17955,19588,20319,21501,22222,21089,21501
python-telegram-bot,2707,3211,3458,3459,3480,3490,3683,3691,4045,4050
python,124568,125468,125468,137757,128236,128814,128817,128828,153688,128828
pytorch-image-models,7769,8371,8395,11884,14658,15041,17768,19141,21488,21540
pytorch-lightning,4503,4519,4550,5174,6451,6454,6464,7674,12448,16979
pytorch-metric-learning,4460,4565,4113,4356,4412,6638,6641,6972,7651,7688
pytorch3d,19441,21147,30355,36879,43572,58002,64600,67969,69124,88473
pytorch_geometric,4096,4329,5293,7036,8947,9248,12034,13671,13758,13806
pytube,910,908,910,5474,6044,6378,6147,5970,6410,6413
pywal,587,598,598,598,619,607,607,631,626,626
pyWhat,870,870,870,890,1030,1516,1718,2009,2262,2689
q,3661,3946,4168,4314,4314,4323,4314,4442,4442,4424
qlib,15675,15784,25184,26939,29064,38579,41673,41910,48908,52582
QUANTAXIS,0,0,0,0,0,86,86,86,186,9644
qutebrowser,32669,38826,38932,39189,39596,44659,44659,49765,56169,56277
ray,19801,19289,19651,24091,24736,27618,31223,45346,52183,50771
recommenders,6368,5623,11516,18146,19663,32691,35584,37232,38726,39262
redash,2201,4370,4370,4456,4456,4452,4452,4453,4459,4459
redis-rdb-tools,2664,2666,3181,3191,3191,3336,3333,3702,3721,3821
rich,10294,10411,11486,12831,12836,13552,13626,13903,13903,14048
robotframework,54591,54944,56187,56849,57377,57650,58034,58108,58108,58434
rq,8651,9862,9875,9912,9976,9997,10284,10331,10615,10697
rtv,1927,1927,1928,2098,2299,2325,2329,2543,2773,2810
RxPY,36863,38354,38901,41864,50406,50473,50958,59072,59074,59084
salt,193779,138992,138378,138384,40767,41522,46441,52631,57124,63089
sanic,2588,2957,3631,4001,4715,5649,6401,7024,7047,8562
SASM,43681,43681,43681,43681,43681,43681,43681,43681,43681,43681
scapy,101747,0,20620,25305,25873,30246,0,0,105529,122607
scikit-image,83130,92326,92327,92177,98169,98179,98178,105722,105892,105981
scikit-learn,168717,198786,200172,211558,233142,234634,211749,234786,235167,237048
scipy,226123,226153,226421,242392,242867,243125,243148,243350,270309,270371
ScoutSuite,0,8049,8051,8155,8583,11637,11640,9814,10369,11024
scrapy,38703,38708,38815,35334,32206,35780,36226,38082,38085,38086
seaborn,3405,3669,10943,11198,13741,16377,16442,23423,24545,25210
searx,15545,15532,17899,19473,20994,21691,22853,22894,22960,23473
security_monkey,11262,12179,13128,13220,12922,13427,14343,16904,21035,23581
sentence-transformers,3019,4025,4025,4367,4397,4936,5419,5489,6239,7051
sentry,109013,139557,139662,139751,139826,139826,139846,139868,143729,143729
serverless-application-model,102,102,102,102,5334,18935,19017,19310,19459,20880
sigma,7846,7106,7021,7021,8012,9323,11025,11388,12913,12913
sktime,11974,17752,19927,27777,31644,33291,36165,41295,44015,46401
snorkel,5250,6934,12144,13771,14672,12798,13250,13394,13384,13591
speech_recognition,755,872,840,882,1024,1045,1024,1052,1071,1071
speedtest-cli,551,685,769,769,787,787,859,1540,1542,1558
spotify-downloader,1848,2355,2719,2726,2998,3015,3026,3284,3289,3297
spyder,94624,95613,96066,96811,96811,96811,103610,96878,96945,96984
sqlalchemy,360832,359732,358686,357404,356616,355573,355237,354786,354725,353840
sqlfluff,1103,1821,2480,5791,5842,8147,8199,8199,8307,11046
st2,38835,39108,39190,39318,44999,45053,45054,51460,51476,51580
stanza,12127,12078,13706,16767,17007,17007,21029,24899,28970,29391
starlette,10513,10688,10686,10686,10714,10908,10883,10911,11279,11569
statsmodels,251148,253863,288119,288325,317935,318258,318706,319550,337151,338713
streamlink,21811,21796,22280,23512,26382,26874,27179,29172,29525,30706
streamlit,41440,41439,42190,42190,42299,42582,42763,43266,44129,44797
synapse,37842,37842,37845,37845,39361,40452,40452,40458,45372,45373
Synonyms,277,280,393,398,1000,1060,1087,1090,990,1051
Telethon,2627,3026,3200,3425,3647,3837,4171,4194,5119,5070
tensor2tensor,15395,15740,15890,15920,16205,16241,16686,16745,17361,17380
tensorboardX,3436,6091,5070,5355,9680,9850,10473,11015,12627,13641
TensorLayer,12137,15277,15999,16037,16110,16243,16914,17477,17648,17685
termtosvg,1664,1685,1702,1747,1926,1989,2037,2086,2543,2578
textgenrnn,590,695,695,752,754,810,830,829,921,923
textual,3630,4690,7770,8854,8964,8964,8964,9356,9356,9354
thefuck,11805,11822,11824,11828,11862,11973,12180,12181,12957,13144
theHarvester,5901,7859,9202,9350,9855,10234,3838,4929,4896,4898
thumbor,13307,13304,13307,13317,13356,13372,13393,13403,13503,13504
tianshou,5878,6755,7502,8332,8484,9342,10862,11589,12536,12533
tinydb,3289,3331,2478,2517,2554,2637,3283,3090,3084,2926
tpot,781,1362,1951,2051,3886,3669,4681,3698,5246,8175
transformers,4088,4088,4326,4967,10731,10751,12145,12146,13878,21028
transitions,4217,4288,4288,4345,4740,4844,5269,5329,5370,5411
trax,26970,31861,31861,31912,38125,42533,38619,38657,40266,40322
tribler,97913,89777,89779,89822,89805,89948,89955,89978,89978,90005
troposphere,6305,7630,8214,8631,8866,9356,9359,9443,10331,10963
TTS,23069,23821,25159,26026,26568,29396,30426,30426,30040,30044
tvm,18187,29329,37430,77271,124845,0,205948,206308,288965,430758
tweepy,4116,4252,4423,4728,4739,4754,4853,4904,4919,4921
twisted,384756,384756,384756,384446,384446,384446,384730,384815,384824,385756
typer,1339,1339,1339,1691,2649,3553,6532,6526,6529,7611
umap,2038,3303,3304,3326,3331,5789,5803,5924,5940,5973
ungoogled-chromium,0,0,0,0,965,975,1188,1372,1350,1534
uvicorn,6384,6348,6395,6414,6413,6631,6631,6822,6724,6731
video2x,1263,1391,2167,2351,2430,2727,2768,3003,3084,3543
visidata,1344,1344,2252,3683,3802,4850,5030,6228,6231,6463
vision,807,1511,1511,2802,3362,5179,6462,7660,16426,20834
vit-pytorch,124,124,129,140,139,178,180,0,0,195
voila,3110,3198,3196,3204,3234,3234,4252,4252,4354,4355
wagtail,17757,13589,13598,21044,21110,23765,25951,28661,29455,29455
walle-web,0,0,0,0,0,0,0,0,0,0
watchdog,8470,8504,8535,8568,8860,8905,8944,8955,8987,9068
WeasyPrint,28514,28667,28784,28794,28857,29408,31611,31626,31879,31890
werkzeug,34094,38963,38971,39040,39109,39111,39163,39176,38949,38954
WeRoBot,638,1646,4251,4251,4324,1057,974,4310,1049,2117
wfuzz,2135,2306,2594,5974,5996,5994,5996,6120,9733,6158
whoogle-search,385,585,668,751,751,750,1287,1318,1484,1493
WSL,0,0,0,60,60,60,62,62,62,62
wxpy,2283,2325,2395,2605,2998,3014,2993,3021,3088,3810
xonsh,6893,14802,34737,36526,40134,38840,55147,55164,55232,59395
XX-Net,103643,103532,107222,107506,144028,144028,144844,144903,145177,145326
yolov3,1794,1702,1716,1739,1781,2069,4033,4072,4708,5050
you-get,4339,4402,4438,4575,4574,4661,4691,5102,5151,5225
youtube-dl,96300,98959,98959,99009,99148,99366,99435,99695,99808,99819
yowsup,6927,9264,9724,10953,11459,11518,11619,11757,11901,12242
yt-dlp,154664,154721,155134,155247,155728,155861,155904,156123,156268,157395
YT-Spammer-Purge,561,635,744,805,1410,1421,1433,1768,1802,2594
