,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
locust,2964,3056,3340,4136,3511,3510,3485,3056,4148,4454
loguru,3,3637,3506,3506,3587,3649,3707,3785,5968,6046
ludwig,8376,8759,8910,11722,12043,12653,16369,17398,18388,18463
lutris,11361,11395,11338,11569,11748,11790,11812,11840,12116,12553
mackup,954,954,951,951,953,963,963,963,934,937
magenta,7154,6946,6620,7826,11612,13285,13287,13336,13560,15695
mailinabox,2792,2891,2966,3069,3086,4327,4327,4327,4266,4267
maltrail,2972,4155,4173,4227,4281,4925,4884,5026,5003,5112
manim,158344,11676,12017,12355,12928,13167,13167,12936,13245,13236
material-theme,0,0,0,0,0,0,0,0,0,0
MechanicalSoup,236,249,251,563,753,1118,1345,1432,1562,1658
meson,8320,8827,9355,9484,9677,9957,10709,11339,11714,12173
metaflow,8832,8893,8897,8918,8969,8969,10049,10054,10169,10252
microk8s,2709,2948,3734,4801,4823,5016,5020,5020,5088,5900
microservices-demo,1101,1103,1103,1110,1110,1110,1110,1110,1110,1110
mindsdb,4596,4640,3367,3638,4730,4816,4836,4842,5131,5131
mitmproxy,11990,14960,15431,15434,13112,12714,13005,13749,23966,23970
mlflow,4931,4898,5724,6571,6771,7065,7827,7925,7925,9592
mmdetection,22991,23035,21987,24469,26290,26816,28626,29516,30897,31815
MMdnn,5327,5580,8380,9665,13154,13629,17306,17306,17306,17384
models,5057,5081,5336,6018,6021,9123,10273,10895,22283,31289
modin,9141,9700,9802,10393,10648,10641,10674,10754,12001,12201
monkey,6418,5836,5955,7272,8279,8761,11900,13071,13776,14744
mopidy,15355,15354,15305,15302,15964,15971,15984,15994,13092,13189
moviepy,3510,3709,3724,4229,4403,4861,4863,4875,4922,4882
Movie_Data_Capture,177,177,211,223,227,224,230,230,419,453
mps-youtube,1131,1134,1235,1244,1244,1261,1376,1378,1393,1400
multi-v2ray,1452,1492,1731,1787,1458,1465,1788,1788,1789,1789
musicbox,2410,2435,2458,2471,2473,2545,2592,2648,2577,2200
mycroft-core,4108,4108,4086,4193,4420,4420,4420,4508,4550,4670
nameko,7461,7846,7782,7886,8056,8165,8737,8432,8488,9368
